# unit;contract address;decimals
QUN;0x264dc2dedcdcbb897561a57cba5085ca416fb7b4;18
R;0x48f775efbe4f5ece6e0df2f7b5932df56823b990;0
RBLX;0xfc2c4d8f95002c14ed0a7aa65102cac9e5953b5e;18
RCN;0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6;18
RDN;0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6;18
REM;0x83984d6142934bb535793a82adb0a46ef0f66b6d;4
REN;0x408e41876cccdc0f92210600ef50372656052a38;18
REP;0x1985365e9f78359a9b6ad760e32412f4a445e862;18
REQ;0x8f8221afbb33998d8584a2b05749ba73c37a938a;18
RET;0xd7394087e1dbbe477fe4f1cf373b9ac9459565ff;8
RFR;0xd0929d411954c47438dc1d871dd6081f5c5e149c;4
RHOC;0x168296bb09e24a88805cb9c33356536b980d3fc5;8
RLC;0x607f4c5bb672230e8672085532f7e901544a7375;9
RNT;0xff603f43946a3a28df5e6a73172555d8c8b02386;18
ROOBEE;0xa31b1767e09f842ecfd4bc471fe44f830e3891aa;18
ROX;0x574f84108a98c575794f75483d801d1d5dc861a5;18
RPL;0xb4efd85c19999d84251304bda99e90b92300bd93;18
RSR;0x8762db106b2c2a0bccb3a80d1ed41273552616e8;18
RTH;0x3fd8f39a962efda04956981c31ab89fab5fb8bc8;18
RUFF;0xf278c1ca969095ffddded020290cf8b5c424ace2;18
S4F;0xaec7d1069e3a914a3eb50f0bfb1796751f2ce48a;18
SAI;0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359;18
SALT;0x4156d3342d5c385a87d264f90653733592000581;8
SAN;0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098;18
SEAL;0x07bf5f95851ef2b2996f192569e406a6fea2a95a;18
SEELE;0xb1eef147028e9f480dbc5ccaa3277d417d1b85f0;18
SENT;0xa44e5137293e855b1b7bc7e2c6f8cd796ffcb037;8
SKM;0xd99b8a7fa48e25cce83b81812220a3e03bf64e5f;18
